POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Gautam Gambhir,16,16,4,498,76*,41.5,389,128.02,0,4,61,7
2,Manish Pandey,14,13,5,396,81*,49.5,308,128.57,0,2,28,12
3,Robin Uthappa,14,13,0,388,87,29.84,235,165.1,0,5,36,21
4,Chris Lynn,7,7,1,295,93*,49.16,163,180.98,0,3,25,19
5,Sunil Narine,16,14,1,224,54,17.23,130,172.3,0,1,34,10
6,Yusuf Pathan,15,11,3,143,59,17.87,115,124.34,0,1,9,6
7,Colin de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,10,6
8,Suryakumar Yadav,10,7,1,105,31,17.5,88,119.31,0,0,8,3
9,Chris Woakes,13,7,3,46,18,11.5,47,97.87,0,0,4,1
10,Sheldon Jackson,4,3,1,38,16,19.0,31,122.58,0,0,5,0
11,Ishank Jaggi,2,2,1,33,28,33.0,39,84.61,0,0,3,0
12,Kuldeep Yadav,12,2,0,20,16,10.0,22,90.9,0,0,2,0
13,Nathan Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,2
14,Umesh Yadav,14,4,4,10,4*,0.0,13,76.92,0,0,0,0
15,Darren Bravo,1,1,1,6,6*,0.0,5,120.0,0,0,1,0
16,Trent Boult,6,1,1,5,5*,0.0,8,62.5,0,0,0,0
17,Ankit Rajpoot,5,1,0,4,4,4.0,7,57.14,0,0,1,0
18,Piyush Chawla,6,1,0,2,2,2.0,6,33.33,0,0,0,0
19,Shakib Al Hasan,1,1,1,1,1*,0.0,1,100.0,0,0,0,0
