POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Sourav Ganguly,14,14,1,493,88,37.92,419,117.66,0,4,58,15
2,Chris Gayle,9,9,0,292,88,32.44,184,158.69,0,2,30,16
3,Manoj Tiwary,13,11,2,237,75*,26.33,186,127.41,0,2,23,5
4,Angelo Mathews,14,11,4,233,65*,33.28,184,126.63,0,1,18,8
5,Cheteshwar Pujara,10,6,2,122,45*,30.5,115,106.08,0,0,14,3
6,Owais Shah,5,5,3,115,58*,57.5,95,121.05,0,1,7,5
7,Brendon McCullum,5,5,1,114,57*,28.5,110,103.63,0,1,14,2
8,Brad Hodge,4,4,0,99,50,24.75,90,110.0,0,1,11,1
9,David Hussey,6,6,2,94,31,23.5,86,109.3,0,0,5,5
10,Wriddhiman Saha,13,7,4,67,22,22.33,53,126.41,0,0,9,1
11,Ajit Agarkar,7,4,3,40,17,40.0,29,137.93,0,0,4,0
12,Laxmi Ratan Shukla,4,2,0,36,19,18.0,26,138.46,0,0,3,2
13,Murali Kartik,10,2,0,22,21,11.0,22,100.0,0,0,2,0
14,Ishant Sharma,7,2,1,6,6*,6.0,17,35.29,0,0,0,0
15,Rohan Gavaskar,2,1,0,2,2,2.0,8,25.0,0,0,0,0
16,Ajantha Mendis,2,1,1,1,1*,0.0,1,100.0,0,0,0,0
17,Shane Bond,8,1,0,1,1,1.0,2,50.0,0,0,0,0
