POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Gautam Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,51,5
2,Yusuf Pathan,16,16,5,332,72,30.18,240,138.33,0,1,30,14
3,Jacques Kallis,16,16,1,311,41,20.73,322,96.58,0,0,35,3
4,Eoin Morgan,14,13,2,307,51,27.9,240,127.91,0,1,28,13
5,Manvinder Bisla,14,14,1,255,92,19.61,236,108.05,0,2,36,6
6,Manoj Tiwary,10,9,1,146,33,18.25,140,104.28,0,0,12,1
7,Rajat Bhatia,15,10,4,99,26*,16.5,80,123.75,0,0,8,3
8,Ryan ten Doeschate,4,4,1,85,42,28.33,63,134.92,0,0,9,2
9,Debabrata Das,10,6,1,75,23,15.0,74,101.35,0,0,5,5
10,Sumit Narwal,2,1,0,23,23,23.0,15,153.33,0,0,4,0
11,Brett Lee,3,2,1,21,16*,21.0,12,175.0,0,0,1,2
12,Sunil Narine,16,6,3,21,13,7.0,19,110.52,0,0,0,2
13,Sachithra Senanayake,8,4,3,10,7*,10.0,17,58.82,0,0,0,0
14,Lakshmipathy Balaji,13,3,2,9,9*,9.0,10,90.0,0,0,1,0
15,Iqbal Abdulla,5,2,2,8,6*,0.0,14,57.14,0,0,0,0
16,Brendon McCullum,1,1,0,6,6,6.0,7,85.71,0,0,1,0
17,Paras Dogra,1,1,0,5,5,5.0,8,62.5,0,0,0,0
18,Mohammad Shami,3,1,0,5,5,5.0,10,50.0,0,0,0,0
19,Pradeep Sangwan,2,1,1,4,4*,0.0,2,200.0,0,0,1,0
20,Ryan McLaren,2,2,0,3,2,1.5,6,50.0,0,0,0,0
