POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Robin Uthappa,16,16,1,660,83*,44.0,479,137.78,0,5,74,18
2,Manish Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10
3,Gautam Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,36,4
4,Yusuf Pathan,15,12,3,268,72,29.77,165,162.42,0,1,15,20
5,Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,22,7
6,Suryakumar Yadav,16,10,5,164,34,32.8,117,140.17,0,0,16,5
7,Jacques Kallis,8,7,1,151,72,25.16,129,117.05,0,1,13,4
8,Chris Lynn,2,2,0,58,45,29.0,49,118.36,0,0,5,3
9,Ryan ten Doeschate,10,7,3,52,25*,13.0,33,157.57,0,0,3,4
10,Piyush Chawla,11,5,2,31,17*,10.33,19,163.15,0,0,4,1
11,Sunil Narine,16,5,3,10,6,5.0,14,71.42,0,0,0,0
12,Vinay Kumar,9,4,2,4,4,2.0,6,66.66,0,0,0,0
13,Morne Morkel,12,2,2,4,4*,0.0,3,133.33,0,0,0,0
14,Manvinder Bisla,1,1,0,3,3,3.0,9,33.33,0,0,0,0
15,Andre Russell,2,2,0,2,1,1.0,8,25.0,0,0,0,0
16,Umesh Yadav,12,1,0,2,2,2.0,4,50.0,0,0,0,0
