POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Gautam Gambhir,15,15,2,501,90*,38.53,411,121.89,0,5,54,6
2,Robin Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,45,8
3,Yusuf Pathan,15,13,8,361,63*,72.2,248,145.56,0,3,33,13
4,Manish Pandey,12,11,3,248,52,31.0,183,135.51,0,2,17,9
5,Andre Russell,12,8,1,188,39*,26.85,114,164.91,0,0,10,15
6,Suryakumar Yadav,15,11,4,182,60,26.0,143,127.27,0,1,18,5
7,Shakib Al Hasan,10,7,2,114,66*,22.8,106,107.54,0,1,7,5
8,Colin Munro,4,3,0,30,16,10.0,30,100.0,0,0,3,0
9,Piyush Chawla,12,3,0,27,11,9.0,26,103.84,0,0,4,0
10,Chris Lynn,2,2,1,25,15,25.0,22,113.63,0,0,0,1
11,Rajagopal Sathish,4,3,0,24,10,8.0,24,100.0,0,0,1,1
12,Jason Holder,4,4,0,22,13,5.5,19,115.78,0,0,2,1
13,Umesh Yadav,9,2,1,9,7*,9.0,5,180.0,0,0,0,1
14,Sunil Narine,11,4,3,7,4,7.0,13,53.84,0,0,0,0
15,Morne Morkel,10,2,2,1,1*,0.0,1,100.0,0,0,0,0
