POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Jacques Kallis,15,14,2,424,80*,35.33,378,112.16,0,4,46,6
2,Gautam Gambhir,15,15,4,378,75*,34.36,317,119.24,0,2,44,3
3,Manoj Tiwary,15,14,7,359,61*,51.28,325,110.46,0,1,26,14
4,Yusuf Pathan,15,11,1,283,47*,28.3,201,140.79,0,0,24,13
5,Eoin Morgan,12,9,0,137,66,15.22,117,117.09,0,1,17,3
6,Ryan ten Doeschate,6,3,1,107,70*,53.5,73,146.57,0,1,9,5
7,Manvinder Bisla,5,5,0,72,27,14.4,89,80.89,0,0,8,0
8,Shreevats Goswami,5,4,0,29,22,7.25,29,100.0,0,0,5,0
9,Shakib Al Hasan,7,3,1,29,26,14.5,22,131.81,0,0,4,0
10,Rajat Bhatia,14,6,3,25,11,8.33,22,113.63,0,0,3,0
11,Brad Haddin,1,1,0,18,18,18.0,11,163.63,0,0,2,1
12,Iqbal Abdulla,15,2,2,15,12*,0.0,12,125.0,0,0,1,0
13,Laxmi Ratan Shukla,1,1,0,14,14,14.0,10,140.0,0,0,2,0
14,Mark Boucher,4,3,2,6,5,6.0,6,100.0,0,0,0,0
15,Brett Lee,12,4,1,5,2*,1.66,9,55.55,0,0,0,0
16,Lakshmipathy Balaji,14,2,2,4,3*,0.0,2,200.0,0,0,0,0
