POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Andre Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52
2,Chris Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22
3,Nitish Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21
4,Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10
5,Robin Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10
6,Dinesh Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14
7,Sunil Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9
8,Piyush Chawla,13,5,2,42,14*,14.0,37,113.51,0,0,4,2
9,Rinku Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2
10,Kuldeep Yadav,9,4,2,12,10*,6.0,8,150.0,0,0,1,0
11,Carlos Brathwaite,2,2,0,11,6,5.5,10,110.0,0,0,1,0
12,KC Cariappa,1,1,1,9,9*,0.0,3,300.0,0,0,0,1
13,Nikhil Naik,1,1,0,7,7,7.0,16,43.75,0,0,1,0
14,Harry Gurney,8,1,1,1,1*,0.0,5,20.0,0,0,0,0
15,Joe Denly,1,1,0,0,0*,0.0,1,0.0,0,0,0,0
16,Prithvi Raj Yarra,2,1,1,0,0*,0.0,1,0.0,0,0,0,0
17,Prasidh Krishna,11,1,0,0,0*,0.0,2,0.0,0,0,0,0
