POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Shreyas Iyer,8,8,1,248,85,35.43,174,142.52,0,2,26,7
2,Andre Russell,8,7,2,227,70*,45.40,126,180.15,0,1,12,22
3,Nitish Rana,8,8,0,143,54,17.88,105,136.19,0,1,10,9
4,Venkatesh Iyer,8,8,1,126,50*,18.00,123,102.43,0,1,13,3
5,Sam Billings,6,6,1,99,25,19.80,85,116.47,0,0,4,6
6,Ajinkya Rahane,5,5,0,80,44,16.00,80,100.0,0,0,11,1
7,Aaron Finch,2,2,0,65,58,32.50,33,196.96,0,1,9,3
8,Pat Cummins,4,4,1,63,56*,21.00,22,286.36,0,1,5,6
9,Umesh Yadav,8,5,2,55,21,18.33,38,144.73,0,0,4,4
10,Rinku Singh,1,1,0,35,35,35.00,28,125.0,0,0,4,1
11,Sunil Narine,8,5,0,27,12,5.40,17,158.82,0,0,3,2
12,Sheldon Jackson,4,4,1,18,8,6.00,19,94.73,0,0,0,1
13,Varun Chakaravarthy,8,3,3,12,10*,-,18,66.66,0,0,2,0
14,Rasikh Salam,2,1,0,7,7,7.00,6,116.66,0,0,1,0
15,Aman Khan,1,1,0,5,5,5.00,3,166.66,0,0,1,0
16,Shivam Mavi,4,2,0,2,2,1.00,5,40.0,0,0,0,0
17,Tim Southee,3,2,1,2,1*,2.00,6,33.33,0,0,0,0
