POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Brad Hodge,12,12,3,365,73,40.55,310,117.74,0,3,34,9
2,Brendon McCullum,13,13,1,285,84*,23.75,239,119.24,0,2,27,12
3,Sourav Ganguly,13,11,0,189,46,17.18,207,91.3,0,0,13,6
4,Chris Gayle,7,7,1,171,44*,28.5,143,119.58,0,0,15,10
5,David Hussey,4,4,0,98,43,24.5,59,166.1,0,0,7,6
6,Laxmi Ratan Shukla,9,6,1,83,48*,16.6,85,97.64,0,0,5,3
7,Wriddhiman Saha,8,7,4,72,25*,24.0,41,175.6,0,0,3,4
8,Ajit Agarkar,11,7,5,66,39,33.0,57,115.78,0,0,3,3
9,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0
10,Moises Henriques,4,3,1,38,30*,19.0,40,95.0,0,0,2,1
11,Murali Kartik,10,2,2,21,11*,0.0,20,105.0,0,0,0,0
12,Angelo Mathews,1,1,0,16,16,16.0,13,123.07,0,0,2,0
13,Ishant Sharma,11,3,1,16,9,8.0,13,123.07,0,0,1,1
14,Aakash Chopra,2,1,0,11,11,11.0,19,57.89,0,0,2,0
15,Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0
16,Shoaib Shaikh,2,1,0,6,6,6.0,7,85.71,0,0,1,0
17,Mashrafe Mortaza,1,1,1,2,2*,0.0,2,100.0,0,0,0,0
18,Ashok Dinda,9,2,0,2,2,1.0,3,66.66,0,0,0,0
19,Ajantha Mendis,4,1,0,0,0*,0.0,1,0.0,0,0,0,0
