POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Gautam Gambhir,17,17,2,590,93,39.33,411,143.55,0,6,64,17
2,Jacques Kallis,17,17,1,409,79,25.56,384,106.51,0,2,34,10
3,Brendon McCullum,12,12,0,289,56,24.08,283,102.12,0,1,37,3
4,Manoj Tiwary,16,15,5,260,59,26.0,246,105.69,0,1,21,3
5,Manvinder Bisla,7,7,0,213,89,30.42,160,133.12,0,1,16,10
6,Yusuf Pathan,17,16,6,194,40*,19.4,169,114.79,0,0,10,7
7,Debabrata Das,15,10,7,126,35*,42.0,93,135.48,0,0,9,6
8,Shakib Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,6,3
9,Laxmi Ratan Shukla,11,8,2,75,26,12.5,57,131.57,0,0,4,5
10,Brett Lee,10,3,1,42,25,21.0,20,210.0,0,0,2,4
11,Rajat Bhatia,17,6,3,35,12,11.66,28,125.0,0,0,4,0
12,Ryan ten Doeschate,3,3,1,21,11,10.5,21,100.0,0,0,1,1
13,Sunil Narine,15,2,1,9,9*,9.0,7,128.57,0,0,2,0
