POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Sanju Samson,14,14,2,484,119,40.33,354,136.72,1,2,45,17
2,Jos Buttler,7,7,0,254,124,36.28,166,153.01,1,0,27,13
3,Yashasvi Jaiswal,10,10,0,249,50,24.9,168,148.21,0,1,32,10
4,Shivam Dube,9,9,1,230,64*,28.75,193,119.17,0,1,18,10
5,Rahul Tewatia,14,11,1,155,44,15.5,147,105.44,0,0,11,6
6,Evin Lewis,5,5,0,151,58,30.2,93,162.36,0,1,18,7
7,David Miller,9,8,3,124,62,24.8,113,109.73,0,1,11,3
8,Mahipal Lomror,4,4,1,94,43,31.33,73,128.76,0,0,3,6
9,Riyan Parag,11,10,2,93,25,11.62,83,112.04,0,0,6,4
10,Chris Morris,11,7,2,67,36*,13.4,49,136.73,0,0,2,5
11,Manan Vohra,4,4,0,42,14,10.5,39,107.69,0,0,5,2
12,Liam Livingstone,5,5,0,42,25,8.4,41,102.43,0,0,3,1
13,Jaydev Unadkat,6,3,1,41,24,20.5,29,141.37,0,0,3,2
14,Glenn Phillips,3,3,1,26,14*,13.0,33,78.78,0,0,1,2
15,Chetan Sakariya,14,6,1,16,7,3.2,25,64.0,0,0,2,0
16,Mustafizur Rahman,14,5,5,8,8*,0.0,14,57.14,0,0,0,1
17,Shreyas Gopal,3,2,1,7,7*,7.0,5,140.0,0,0,0,1
18,Tabraiz Shamsi,1,1,1,2,2*,0.0,4,50.0,0,0,0,0
19,Kartik Tyagi,4,2,1,2,1*,2.0,4,50.0,0,0,0,0
20,Ben Stokes,1,1,0,0,0*,0.0,3,0.0,0,0,0,0
