POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Jos Buttler,7,7,1,491,116,81.83,304,161.51,3,2,41,32
2,Shimron Hetmyer,7,7,4,224,59*,74.67,125,179.2,0,1,14,17
3,Sanju Samson,7,7,1,201,55,33.50,117,171.79,0,1,14,15
4,Devdutt Padikkal,7,7,0,192,54,27.43,148,129.72,0,1,21,7
5,Riyan Parag,7,5,0,48,18,9.60,36,133.33,0,0,5,2
6,Ravichandran Ashwin,7,4,1,39,28,13.00,34,114.7,0,0,0,3
7,Yashasvi Jaiswal,3,3,0,25,20,8.33,24,104.16,0,0,2,1
8,James Neesham,1,1,0,17,17,17.00,15,113.33,0,0,1,0
9,Rassie van der Dussen,2,2,0,10,6,5.00,14,71.42,0,0,1,0
10,Yuzvendra Chahal,7,1,0,5,5,5.00,8,62.5,0,0,0,0
11,Prasidh Krishna,7,1,1,4,4*,-,7,57.14,0,0,0,0
12,Trent Boult,6,2,2,3,2*,-,2,150.0,0,0,0,0
13,Karun Nair,2,1,0,3,3,3.00,5,60.0,0,0,0,0
14,Navdeep Saini,2,1,0,2,2,2.00,2,100.0,0,0,0,0
15,Nathan Coulter-Nile,1,1,1,1,1*,-,2,50.0,0,0,0,0
