POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Chris Gayle,15,14,2,733,128*,61.08,456,160.74,1,7,46,59
2,Virat Kohli,16,15,2,364,73*,28.0,326,111.65,0,2,33,9
3,AB de Villiers,16,13,5,319,64*,39.87,198,161.11,0,3,26,15
4,Tillakaratne Dilshan,10,9,1,285,76*,35.62,261,109.19,0,3,33,5
5,Mayank Agarwal,16,12,1,225,64*,20.45,158,142.4,0,1,19,15
6,Saurabh Tiwary,15,11,3,191,36*,23.87,170,112.35,0,0,9,8
7,Vinay Kumar,15,7,2,68,25,13.6,62,109.67,0,0,3,2
8,Andrew McDonald,4,3,1,47,30,23.5,35,134.28,0,0,6,2
9,Daniel Vettori,9,6,2,31,20,7.75,26,119.23,0,0,3,1
10,Cheteshwar Pujara,3,3,0,17,11,5.66,22,77.27,0,0,1,1
11,Harshal Patel,12,3,1,15,10,7.5,15,100.0,0,0,1,0
12,Mohammad Kaif,1,1,0,14,14,14.0,16,87.5,0,0,1,0
13,Sreenath Aravind,1,1,1,14,14*,0.0,8,175.0,0,0,3,0
14,Zaheer Khan,16,5,3,12,11*,6.0,17,70.58,0,0,1,0
15,Asad Pathan,2,2,1,6,4,6.0,7,85.71,0,0,0,0
16,Muttiah Muralitharan,10,2,0,6,6,3.0,9,66.66,0,0,0,0
17,Syed Mohammad,2,1,1,4,4*,0.0,1,400.0,0,0,1,0
