POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,16,16,4,973,113,81.08,640,152.03,4,7,83,38
2,AB de Villiers,16,16,3,687,129*,52.84,407,168.79,1,6,57,37
3,KL Rahul,14,12,3,397,68*,44.11,271,146.49,0,4,37,16
4,Chris Gayle,10,10,0,227,76,22.7,150,151.33,0,2,17,21
5,Shane Watson,16,15,2,179,36,13.76,134,133.58,0,0,14,12
6,Sachin Baby,11,6,1,119,33,23.8,79,150.63,0,0,9,5
7,Sarfaraz Khan,5,4,2,66,35*,33.0,31,212.9,0,0,7,4
8,Stuart Binny,14,6,3,63,21,21.0,39,161.53,0,0,5,4
9,Travis Head,3,3,1,54,37,27.0,40,135.0,0,0,3,2
10,Kedar Jadhav,4,3,3,42,25*,0.0,32,131.25,0,0,2,2
11,Iqbal Abdulla,8,2,2,37,33*,0.0,27,137.03,0,0,4,1
12,Parveez Rasool,4,1,0,10,10,10.0,9,111.11,0,0,1,0
13,David Wiese,1,1,1,5,5*,0.0,4,125.0,0,0,0,0
14,Chris Jordan,9,1,0,3,3,3.0,4,75.0,0,0,0,0
15,Kane Richardson,4,1,1,1,1*,0.0,1,100.0,0,0,0,0
