POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Jacques Kallis,15,15,2,361,69*,27.76,332,108.73,0,3,37,8
2,Ross Taylor,11,11,2,280,81*,31.11,208,134.61,0,1,20,15
3,Rahul Dravid,13,12,0,271,66,22.58,234,115.81,0,1,28,3
4,Virat Kohli,16,13,2,246,50,22.36,219,112.32,0,1,22,8
5,Robin Uthappa,15,13,2,175,66*,15.9,170,102.94,0,1,18,3
6,Manish Pandey,5,4,2,168,114*,84.0,118,142.37,1,0,17,4
7,Mark Boucher,12,9,4,150,48*,30.0,116,129.31,0,0,8,6
8,Roelof van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8
9,Kevin Pietersen,6,6,0,93,37,15.5,85,109.41,0,0,8,2
10,Praveen Kumar,13,8,3,65,14*,13.0,46,141.3,0,0,1,6
11,Jesse Ryder,5,5,0,56,32,11.2,49,114.28,0,0,9,0
12,Shreevats Goswami,2,2,0,53,43,26.5,60,88.33,0,0,6,0
13,Vinay Kumar,11,8,3,47,12,9.4,44,106.81,0,0,4,1
14,Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2
15,Balachandra Akhil,6,3,1,17,9,8.5,15,113.33,0,0,1,1
16,Anil Kumble,16,7,6,16,7*,16.0,19,84.21,0,0,2,0
17,Wasim Jaffer,2,2,0,15,8,7.5,17,88.23,0,0,2,0
18,Dillon du Preez,2,1,0,10,10,10.0,13,76.92,0,0,0,0
19,Pankaj Singh,3,2,1,1,1*,1.0,2,50.0,0,0,0,0
20,Dale Steyn,3,2,1,0,0*,0.0,3,0.0,0,0,0,0
