POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,AB de Villiers,14,13,2,395,89*,35.9,249,158.63,0,3,26,24
2,Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28
3,Virat Kohli,14,14,1,359,73,27.61,294,122.1,0,2,23,16
4,Parthiv Patel,12,12,2,205,57*,20.5,185,110.81,0,1,30,1
5,Chris Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12
6,Yogesh Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1
7,Mitchell Starc,14,9,3,85,29,14.16,84,101.19,0,0,9,0
8,Sachin Rana,9,7,4,73,19*,24.33,65,112.3,0,0,7,1
9,Albie Morkel,7,5,2,45,16,15.0,41,109.75,0,0,1,3
10,Rilee Rossouw,3,3,0,39,24,13.0,41,95.12,0,0,2,2
11,Varun Aaron,10,3,3,35,17*,0.0,34,102.94,0,0,2,1
12,Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1
13,Nic Maddinson,2,2,0,16,12,8.0,14,114.28,0,0,3,0
14,Ravi Rampaul,2,1,0,13,13,13.0,13,100.0,0,0,0,1
15,Harshal Patel,3,3,1,13,6,6.5,7,185.71,0,0,1,1
16,Abu Nechim,4,1,1,4,4*,0.0,1,400.0,0,0,1,0
17,Ashok Dinda,9,3,2,4,2*,4.0,12,33.33,0,0,0,0
18,Yuzvendra Chahal,14,2,2,1,1*,0.0,1,100.0,0,0,0,0
