POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Chris Gayle,16,16,4,708,175*,59.0,453,156.29,1,4,57,51
2,Virat Kohli,16,16,2,634,99,45.28,457,138.73,0,6,64,22
3,AB de Villiers,14,14,4,360,64,36.0,219,164.38,0,2,34,15
4,Moises Henriques,10,9,5,165,44,41.25,125,132.0,0,0,20,3
5,Saurabh Tiwary,9,6,2,109,52,27.25,106,102.83,0,1,4,4
6,Cheteshwar Pujara,4,4,0,92,51,23.0,99,92.92,0,1,14,0
7,Tillakaratne Dilshan,5,5,0,76,33,15.2,93,81.72,0,0,12,0
8,Vinay Kumar,16,5,4,70,26*,70.0,44,159.09,0,0,6,3
9,Mayank Agarwal,5,5,0,67,29,13.4,62,108.06,0,0,6,3
10,Arun Karthik,12,5,2,41,19*,13.66,38,107.89,0,0,3,1
11,Ravi Rampaul,10,6,2,38,23*,9.5,37,102.7,0,0,3,1
12,KL Rahul,5,2,0,20,12,10.0,16,125.0,0,0,4,0
13,Abhinav Mukund,1,1,0,19,19,19.0,21,90.47,0,0,1,0
14,Syed Mohammad,4,2,0,10,9,5.0,13,76.92,0,0,1,0
15,Karun Nair,2,2,0,9,9,4.5,12,75.0,0,0,0,0
16,Dan Christian,2,2,0,6,4,3.0,15,40.0,0,0,0,0
17,Abhimanyu Mithun,1,1,0,2,2,2.0,2,100.0,0,0,0,0
18,Murali Kartik,11,2,1,2,2*,2.0,3,66.66,0,0,0,0
