POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Devdutt Padikkal,15,15,0,473,74,31.53,379,124.8,0,5,51,8
2,Virat Kohli,15,15,4,466,90*,42.36,384,121.35,0,3,23,11
3,AB de Villiers,15,14,4,454,73*,45.4,286,158.74,0,5,33,23
4,Aaron Finch,12,12,0,268,52,22.33,241,111.2,0,1,28,8
5,Shivam Dube,11,9,2,129,27*,18.42,105,122.85,0,0,5,9
6,Washington Sundar,15,9,3,111,30,18.5,95,116.84,0,0,10,2
7,Josh Philippe,5,5,1,78,33,19.5,77,101.29,0,0,9,1
8,Gurkeerat Mann Singh,8,5,5,71,21*,0.0,80,88.75,0,0,8,0
9,Chris Morris,9,5,1,34,25*,8.5,21,161.9,0,0,2,3
10,Navdeep Saini,13,3,2,27,12*,27.0,27,100.0,0,0,3,0
11,Mohammed Siraj,9,3,2,17,10*,17.0,14,121.42,0,0,2,0
12,Isuru Udana,10,4,1,15,10*,5.0,11,136.36,0,0,1,1
13,Moeen Ali,3,3,0,12,11,4.0,16,75.0,0,0,1,0
14,Shahbaz Ahmed,2,1,1,1,1*,0.0,1,100.0,0,0,0,0
15,Dale Steyn,3,1,1,1,1*,0.0,2,50.0,0,0,0,0
16,Yuzvendra Chahal,15,2,1,1,1,1.0,3,33.33,0,0,0,0
17,Umesh Yadav,2,1,0,0,0*,0.0,2,0.0,0,0,0,0
