POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Jacques Kallis,16,16,4,572,89*,47.66,494,115.78,0,6,67,9
2,Robin Uthappa,16,14,2,374,68*,31.16,218,171.55,0,3,21,27
3,Virat Kohli,16,13,2,307,58,27.9,212,144.81,0,1,26,12
4,Rahul Dravid,16,11,2,256,52,28.44,199,128.64,0,1,34,3
5,Manish Pandey,13,13,1,249,42*,20.75,226,110.17,0,0,27,7
6,Kevin Pietersen,7,7,3,236,66*,59.0,157,150.31,0,2,23,8
7,Ross Taylor,7,7,3,88,31*,22.0,75,117.33,0,0,2,6
8,Cameron White,7,5,3,48,21*,24.0,33,145.45,0,0,3,3
9,Eoin Morgan,6,4,1,35,17,11.66,30,116.66,0,0,2,1
10,Sridharan Sriram,1,1,0,27,27,27.0,29,93.1,0,0,3,0
11,Vinay Kumar,14,5,1,27,10*,6.75,32,84.37,0,0,1,0
12,Mark Boucher,5,2,1,13,11*,13.0,10,130.0,0,0,0,1
13,Dale Steyn,15,4,0,13,8,3.25,17,76.47,0,0,2,0
14,Shreevats Goswami,1,1,0,8,8,8.0,10,80.0,0,0,2,0
15,Anil Kumble,16,5,5,6,2*,0.0,11,54.54,0,0,0,0
16,Abhimanyu Mithun,1,1,0,5,5,5.0,4,125.0,0,0,1,0
17,Praveen Kumar,12,4,2,4,3*,2.0,8,50.0,0,0,0,0
18,KP Appanna,2,2,1,2,1*,2.0,3,66.66,0,0,0,0
19,Roelof van der Merwe,1,1,0,1,1,1.0,2,50.0,0,0,0,0
20,Pankaj Singh,2,1,0,1,1,1.0,2,50.0,0,0,0,0
