POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Faf Du Plessis,8,8,0,255,96,31.88,196,130.1,0,2,24,9
2,Dinesh Karthik,8,8,6,210,66*,105.00,105,200.0,0,1,18,15
3,Shahbaz Ahmed,8,6,1,178,45,35.60,128,139.06,0,0,13,7
4,Anuj Rawat,8,8,0,129,66,16.13,118,109.32,0,1,10,7
5,Glenn Maxwell,5,5,1,124,55,31.00,69,179.71,0,1,16,5
6,Virat Kohli,8,8,1,119,48,17.00,97,122.68,0,0,9,2
7,Suyash S Prabhudessai,4,4,0,65,34,16.25,52,125.0,0,0,7,2
8,Sherfane Rutherford,3,2,0,33,28,16.50,50,66.0,0,0,1,1
9,Harshal Patel,7,4,3,23,10*,23.00,19,121.05,0,0,2,1
10,Wanindu Hasaranga,8,3,0,19,8,6.33,25,76.0,0,0,2,1
11,David Willey,4,2,0,18,18,9.00,30,60.0,0,0,3,0
12,Mohammed Siraj,8,2,1,16,14*,16.00,15,106.66,0,0,3,0
13,Josh Hazlewood,4,2,2,10,7*,-,18,55.55,0,0,0,0
