POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13
2,AB de Villiers,13,13,3,442,82*,44.2,287,154.0,0,5,31,26
3,Parthiv Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10
4,Moeen Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17
5,Marcus Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10
6,Gurkeerat Mann Singh,3,3,0,98,65,32.66,70,140.0,0,1,11,2
7,Shimron Hetmyer,5,5,0,90,75,18.0,73,123.28,0,1,4,7
8,Akshdeep Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2
9,Colin de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2
10,Shivam Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3
11,Umesh Yadav,11,7,5,25,14,12.5,25,100.0,0,0,3,1
12,Prayas Ray Barman,1,1,0,19,19,19.0,24,79.16,0,0,2,0
13,Heinrich Klaasen,3,2,0,9,6,4.5,10,90.0,0,0,0,0
14,Tim Southee,3,1,1,9,9*,0.0,9,100.0,0,0,0,0
15,Pawan Negi,7,4,0,9,5,2.25,12,75.0,0,0,1,0
16,Yuzvendra Chahal,14,3,1,6,4,3.0,16,37.5,0,0,0,0
17,Mohammed Siraj,9,4,3,4,3*,4.0,14,28.57,0,0,0,0
18,Navdeep Saini,13,2,1,2,2,2.0,4,50.0,0,0,0,0
19,Washington Sundar,3,2,0,1,1,0.5,3,33.33,0,0,0,0
