POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,14,14,3,530,92*,48.18,381,139.1,0,4,52,18
2,AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,39,30
3,Mandeep Singh,14,13,3,252,47*,25.2,186,135.48,0,0,16,11
4,Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8
5,Parthiv Patel,6,6,1,153,53,30.6,109,140.36,0,1,20,4
6,Colin de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,4,10
7,Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6
8,Moeen Ali,5,4,0,77,65,19.25,46,167.39,0,1,4,6
9,Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4
10,Manan Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4
11,Tim Southee,8,4,2,52,36*,26.0,46,113.04,0,0,5,1
12,Sarfaraz Khan,7,6,1,51,22*,10.2,41,124.39,0,0,7,1
13,Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,2,1
14,Corey Anderson,3,3,0,17,15,5.66,22,77.27,0,0,0,1
15,Chris Woakes,5,4,2,17,11,8.5,19,89.47,0,0,1,1
16,Pawan Negi,2,2,0,3,3,1.5,5,60.0,0,0,0,0
17,Umesh Yadav,14,5,1,3,1*,0.75,11,27.27,0,0,0,0
18,Murugan Ashwin,2,1,0,1,1,1.0,2,50.0,0,0,0,0
19,Yuzvendra Chahal,14,1,1,0,0*,0.0,4,0.0,0,0,0,0
