POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Glenn Maxwell,15,14,2,513,78,42.75,356,144.1,0,6,48,21
2,Devdutt Padikkal,14,14,1,411,101*,31.61,328,125.3,1,1,44,14
3,Virat Kohli,15,15,1,405,72*,28.92,339,119.46,0,3,43,9
4,AB de Villiers,15,14,4,313,76*,31.3,211,148.34,0,2,23,16
5,K.S Bharat,8,7,2,191,78*,38.2,156,122.43,0,1,10,8
6,Rajat Patidar,4,4,0,71,31,17.75,62,114.51,0,0,3,3
7,Kyle Jamieson,9,7,3,65,16*,16.25,55,118.18,0,0,5,3
8,Shahbaz Ahmed,11,7,0,59,14,8.42,53,111.32,0,0,4,2
9,Harshal Patel,15,8,4,59,31,14.75,46,128.26,0,0,6,2
10,Washington Sundar,6,4,0,31,10,7.75,47,65.95,0,0,2,0
11,Mohammed Siraj,15,4,3,20,12*,20.0,26,76.92,0,0,1,1
12,Dan Christian,9,7,1,14,9,2.33,24,58.33,0,0,1,0
13,Yuzvendra Chahal,15,2,2,10,8*,0.0,27,37.03,0,0,0,0
14,Sachin Baby,1,1,0,7,7,7.0,17,41.17,0,0,0,0
15,Daniel Sams,2,2,1,6,3*,6.0,6,100.0,0,0,0,0
16,Navdeep Saini,2,1,0,2,2,2.0,4,50.0,0,0,0,0
17,George Garton,5,3,2,2,2*,2.0,4,50.0,0,0,0,0
18,Tim David,1,1,0,1,1,1.0,3,33.33,0,0,0,0
19,Wanindu Hasaranga,2,2,1,1,1*,1.0,2,50.0,0,0,0,0
