POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,AB de Villiers,16,14,3,513,133*,46.63,293,175.08,1,2,60,22
2,Virat Kohli,16,16,5,505,82*,45.9,386,130.82,0,3,35,23
3,Chris Gayle,14,14,2,491,117,40.91,333,147.44,1,2,39,38
4,Mandeep Singh,14,9,2,157,54*,22.42,100,157.0,0,1,17,6
5,Dinesh Karthik,16,11,0,141,28,12.81,117,120.51,0,0,15,4
6,David Wiese,14,7,3,122,47*,30.5,86,141.86,0,0,12,4
7,Sarfaraz Khan,13,8,4,111,45*,27.75,71,156.33,0,0,12,2
8,Manvinder Bisla,2,2,0,37,20,18.5,30,123.33,0,0,6,1
9,Iqbal Abdulla,5,2,0,20,20,10.0,18,111.11,0,0,4,0
10,Harshal Patel,15,7,2,19,9*,3.8,12,158.33,0,0,0,2
11,Sean Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1
12,Rilee Rossouw,2,2,0,14,14,7.0,10,140.0,0,0,1,1
13,Darren Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0
14,Mitchell Starc,13,3,2,11,9*,11.0,14,78.57,0,0,1,0
15,Abu Nechim,3,3,2,10,5*,10.0,5,200.0,0,0,2,0
16,Varun Aaron,6,1,0,6,6,6.0,3,200.0,0,0,0,1
17,Nic Maddinson,1,1,0,4,4,4.0,7,57.14,0,0,1,0
18,Yuzvendra Chahal,15,2,2,1,1*,0.0,1,100.0,0,0,0,0
19,Sreenath Aravind,5,1,1,0,0*,0.0,1,0.0,0,0,0,0
