POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Sanath Jayasuriya,14,14,2,518,114*,43.16,309,167.63,1,2,58,31
2,Rohit Sharma,13,12,1,404,76*,36.72,273,147.98,0,4,38,19
3,Abhishek Nayar,14,10,2,206,45*,25.75,138,149.27,0,0,16,9
4,Sachin Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1,26,2
5,Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8
6,Dwayne Smith,4,3,0,45,20,15.0,40,112.5,0,0,5,1
7,Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2
8,Luke Ronchi,4,4,0,34,13,8.5,32,106.25,0,0,6,1
9,Pinal Shah,5,4,0,34,19,8.5,35,97.14,0,0,4,0
10,Harbhajan Singh,3,3,1,30,28,15.0,17,176.47,0,0,1,3
11,Saurabh Tiwary,3,2,0,26,17,13.0,20,130.0,0,0,3,1
12,Musavir Khote,4,3,1,24,9,12.0,22,109.09,0,0,2,1
13,Siddharth Chitnis,3,2,0,18,15,9.0,10,180.0,0,0,1,1
14,Rohan Raje,6,3,3,8,6*,0.0,9,88.88,0,0,1,0
15,Ashish Nehra,14,4,3,3,2*,3.0,13,23.07,0,0,0,0
16,Vikrant Yeligati,2,1,0,2,2,2.0,2,100.0,0,0,0,0
17,Dilhara Fernando,5,1,1,2,2*,0.0,1,200.0,0,0,0,0
18,Dhawal Kulkarni,10,1,1,2,2*,0.0,16,12.5,0,0,0,0
