POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,JP Duminy,13,12,3,372,62,41.33,325,114.46,0,5,26,11
2,Sachin Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2,39,10
3,Rohit Sharma,16,16,3,362,52,27.84,315,114.92,0,1,22,18
4,Sanath Jayasuriya,12,12,0,221,52,18.41,192,115.1,0,2,23,7
5,Abhishek Nayar,13,11,2,193,35,21.44,152,126.97,0,0,14,7
6,Harbhajan Singh,13,10,2,84,20,10.5,53,158.49,0,0,6,5
7,Pinal Shah,9,5,2,53,29,17.66,51,103.92,0,0,4,2
8,Graham Napier,1,1,0,15,15,15.0,16,93.75,0,0,1,0
9,Saurabh Tiwary,4,3,2,13,6*,13.0,12,108.33,0,0,0,0
10,Rohan Raje,4,2,1,12,11*,12.0,9,133.33,0,0,0,1
11,Dhawal Kulkarni,8,4,2,9,7*,4.5,17,52.94,0,0,0,0
12,Zaheer Khan,6,4,3,8,4*,8.0,11,72.72,0,0,0,0
13,Mohammad Ashraful,1,1,0,2,2,2.0,10,20.0,0,0,0,0
14,Luke Ronchi,1,1,0,0,0*,0.0,2,0.0,0,0,0,0
15,Chetanya Nanda,3,1,0,0,0*,0.0,1,0.0,0,0,0,0
16,Lasith Malinga,13,3,1,0,0*,0.0,1,0.0,0,0,0,0
