POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Rohit Sharma,17,16,2,433,109*,30.92,342,126.6,1,3,39,18
2,Sachin Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2,39,4
3,James Franklin,12,11,2,220,79,24.44,223,98.65,0,1,15,6
4,Kieron Pollard,14,11,2,220,64,24.44,159,138.36,0,2,15,14
5,Dwayne Smith,7,6,2,157,87*,39.25,98,160.2,0,1,18,7
6,Harbhajan Singh,17,11,2,108,33,12.0,80,135.0,0,0,14,3
7,Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4
8,Herschelle Gibbs,3,3,1,81,66*,40.5,88,92.04,0,1,8,2
9,Lasith Malinga,14,6,0,55,17,9.16,53,103.77,0,0,4,3
10,Robin Peterson,5,5,2,32,16*,10.66,30,106.66,0,0,3,1
11,Tirumalasetti Suman,2,2,0,15,10,7.5,19,78.94,0,0,1,1
12,Dhawal Kulkarni,2,1,1,10,10*,0.0,5,200.0,0,0,2,0
13,Clint McKay,2,1,0,8,8,8.0,15,53.33,0,0,0,0
14,RP Singh,11,5,3,6,3,3.0,12,50.0,0,0,0,0
15,Pragyan Ojha,9,3,1,5,4,2.5,14,35.71,0,0,0,0
16,Thisara Perera,2,2,1,4,4*,4.0,9,44.44,0,0,0,0
