POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Lendl Simmons,8,8,1,394,100*,56.28,291,135.39,1,3,43,14
2,Rohit Sharma,15,15,2,390,59*,30.0,302,129.13,0,3,31,16
3,Kieron Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15
4,Corey Anderson,12,11,2,265,95*,29.44,181,146.4,0,1,21,15
5,Michael Hussey,9,9,0,209,56,23.22,182,114.83,0,2,17,7
6,Suryakumar Yadav,16,10,5,164,34,32.8,117,140.17,0,0,16,5
7,Aditya Tare,15,12,4,126,24,15.75,98,128.57,0,0,16,3
8,Chidhambaram Gautam,9,9,2,121,33,17.28,111,109.0,0,0,13,5
9,Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0
10,Harbhajan Singh,14,7,2,28,10*,5.6,25,112.0,0,0,2,2
11,Zaheer Khan,6,4,3,8,7*,8.0,7,114.28,0,0,0,1
12,Lasith Malinga,10,1,0,2,2,2.0,4,50.0,0,0,0,0
13,Marchant de Lange,1,1,0,1,1,1.0,2,50.0,0,0,0,0
14,Praveen Kumar,3,1,0,1,1,1.0,2,50.0,0,0,0,0
15,Jaydev Unadkat,9,2,1,1,1*,1.0,6,16.66,0,0,0,0
16,Jasprit Bumrah,11,2,2,1,1*,0.0,3,33.33,0,0,0,0
