POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Sachin Tendulkar,15,15,2,618,89*,47.53,466,132.61,0,5,86,3
2,Saurabh Tiwary,16,15,1,419,61,29.92,309,135.59,0,3,29,18
3,Rohit Sharma,16,16,2,404,73,28.85,302,133.77,0,3,36,14
4,Kieron Pollard,14,14,2,273,45*,22.75,147,185.71,0,0,23,17
5,JP Duminy,7,7,2,157,42*,31.4,131,119.84,0,0,13,5
6,Rajagopal Sathish,12,11,4,112,24,16.0,96,116.66,0,0,11,0
7,Harbhajan Singh,15,7,3,105,49*,26.25,63,166.66,0,0,12,5
8,Ryan McLaren,10,7,4,66,40,22.0,69,95.65,0,0,7,0
9,Abhishek Nayar,3,3,1,58,27,29.0,51,113.72,0,0,4,2
10,Aditya Tare,7,4,0,50,23,12.5,36,138.88,0,0,5,3
11,Sanath Jayasuriya,4,4,0,33,23,8.25,31,106.45,0,0,4,1
12,Zaheer Khan,14,4,3,24,23*,24.0,13,184.61,0,0,3,1
13,Chandan Madan,1,1,0,15,15,15.0,19,78.94,0,0,3,0
14,Stuart Binny,1,1,0,8,8,8.0,5,160.0,0,0,1,0
15,Dilhara Fernando,5,1,1,2,2*,0.0,2,100.0,0,0,0,0
16,Lasith Malinga,13,2,2,1,1*,0.0,1,100.0,0,0,0,0
