POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Rohit Sharma,19,19,5,538,79*,38.42,409,131.54,0,4,35,28
2,Kieron Pollard,18,18,8,420,66*,42.0,281,149.46,0,3,27,29
3,Dwayne Smith,13,13,0,418,68,32.15,341,122.58,0,4,40,19
4,Sachin Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1,38,5
5,Aditya Tare,5,5,0,123,59,24.6,84,146.42,0,1,14,5
6,Harbhajan Singh,19,14,8,116,25*,19.33,79,146.83,0,0,12,5
7,Ricky Ponting,6,5,0,52,28,10.4,75,69.33,0,0,3,1
8,Mitchell Johnson,17,6,2,39,11,9.75,36,108.33,0,0,2,2
9,Lasith Malinga,17,6,2,9,7,2.25,18,50.0,0,0,1,0
10,Pragyan Ojha,16,3,2,2,1*,2.0,4,50.0,0,0,0,0
