POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Sachin Tendulkar,16,16,3,553,100*,42.53,488,113.31,1,2,67,5
2,Rohit Sharma,16,14,3,372,87,33.81,297,125.25,0,3,32,13
3,Kieron Pollard,16,13,3,146,28,14.6,133,109.77,0,0,12,6
4,Andrew Symonds,11,9,5,135,44*,33.75,138,97.82,0,0,9,3
5,Aiden Blizzard,6,6,0,120,51,20.0,87,137.93,0,1,21,2
6,James Franklin,8,5,3,107,45*,53.5,78,137.17,0,0,10,2
7,Harbhajan Singh,15,8,5,103,30,34.33,71,145.07,0,0,9,6
8,Davy Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,10,4
9,Tirumalasetti Suman,8,7,1,65,36,10.83,51,127.45,0,0,5,5
10,Rajagopal Sathish,9,3,1,25,18*,12.5,34,73.52,0,0,1,0
11,Lasith Malinga,16,4,1,8,7,2.66,9,88.88,0,0,0,1
12,Ali Murtaza,5,1,1,2,2*,0.0,5,40.0,0,0,0,0
13,Dhawal Kulkarni,6,2,1,2,2,2.0,4,50.0,0,0,0,0
