POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Rohit Sharma,14,14,3,489,85*,44.45,368,132.88,0,5,49,16
2,Kieron Pollard,13,12,4,207,51*,25.87,144,143.75,0,1,11,16
3,Suryakumar Yadav,15,11,4,182,60,26.0,143,127.27,0,1,18,5
4,Parthiv Patel,10,10,0,177,81,17.7,152,116.44,0,1,23,4
5,Harbhajan Singh,14,7,4,92,45*,30.66,84,109.52,0,0,11,2
6,Martin Guptill,3,3,0,57,48,19.0,55,103.63,0,0,3,3
7,Ishan Kishan,5,5,0,42,27,8.4,41,102.43,0,0,5,0
8,Mitchell McClenaghan,14,5,2,34,20,11.33,23,147.82,0,0,2,3
9,Vinay Kumar,3,2,1,13,12,13.0,12,108.33,0,0,0,1
10,Lendl Simmons,1,1,0,8,8,8.0,8,100.0,0,0,0,1
11,Jasprit Bumrah,14,2,1,8,6,8.0,11,72.72,0,0,1,0
12,Unmukt Chand,1,1,0,0,0*,0.0,4,0.0,0,0,0,0
13,Murugan Ashwin,10,1,0,0,0*,0.0,1,0.0,0,0,0,0
