POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Lendl Simmons,13,13,1,540,71,45.0,441,122.44,0,6,56,21
2,Rohit Sharma,16,16,2,482,98*,34.42,333,144.74,0,3,41,21
3,Kieron Pollard,16,14,3,419,70,38.09,256,163.67,0,2,28,28
4,Parthiv Patel,14,14,1,339,59,26.07,246,137.8,0,2,47,5
5,Suryakumar Yadav,13,13,4,157,46*,17.44,113,138.93,0,0,12,8
6,Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1,9,9
7,Corey Anderson,4,4,1,114,55*,38.0,97,117.52,0,2,11,6
8,Unmukt Chand,6,5,0,102,58,20.4,83,122.89,0,1,13,2
9,Aditya Tare,2,2,0,14,7,7.0,17,82.35,0,0,1,0
10,Mitchell McClenaghan,12,3,2,13,12*,13.0,6,216.66,0,0,0,2
11,Lasith Malinga,15,1,1,6,6*,0.0,10,60.0,0,0,1,0
12,Vinay Kumar,13,3,2,0,0*,0.0,2,0.0,0,0,0,0
