POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Jos Buttler,6,6,1,375,103,75.0,239,156.9,2,2,32,23
2,K L Rahul,7,7,1,265,103*,44.17,187,141.71,1,1,21,11
3,Faf Du Plessis,7,7,0,250,96,35.71,189,132.27,0,2,23,9
4,Shreyas Iyer,7,7,1,236,85,39.33,159,148.42,0,2,25,6
5,Hardik Pandya,5,5,2,228,87*,76.0,167,136.52,0,2,26,6
6,Shivam Dube,6,6,1,226,95*,45.2,134,168.65,0,2,18,13
7,Liam Livingstone,6,6,0,224,64,37.33,121,185.12,0,3,18,16
8,Shimron Hetmyer,6,6,3,223,59*,74.33,124,179.83,0,1,14,17
9,Quinton De Kock,7,7,0,215,80,30.71,160,134.37,0,2,25,4
10,Dinesh Karthik,7,7,6,210,66*,210.0,102,205.88,0,1,18,15
11,Rahul Tripathi,6,6,2,205,71,51.25,118,173.72,0,1,19,11
12,Shikhar Dhawan,6,6,0,205,70,34.17,159,128.93,0,1,20,6
13,Suryakumar Yadav,4,4,1,200,68*,66.67,130,153.84,0,2,14,12
14,Shubman Gill,6,6,0,200,96,33.33,132,151.51,0,2,20,5
15,Robin Uthappa,6,6,0,197,88,32.83,129,152.71,0,2,17,12
16,David Miller,6,6,4,193,94*,96.5,120,160.83,0,1,17,9
17,Ishan Kishan,6,6,1,191,81*,38.2,163,117.17,0,2,22,3
18,Aiden Markram,6,5,4,190,68*,190.0,126,150.79,0,2,16,7
19,Tilak Varma,6,6,1,183,61,36.6,124,147.58,0,1,14,9
20,Deepak Hooda,7,7,0,183,55,26.14,141,129.78,0,2,15,7
