POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Rishabh Pant,14,14,1,684,128*,52.61,394,173.6,1,5,68,37
2,Shreyas Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,29,21
3,Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10
4,Vijay Shankar,13,11,7,212,54*,53.0,148,143.24,0,1,11,11
5,Glenn Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,14,9
6,Jason Roy,5,5,1,120,91*,30.0,94,127.65,0,1,9,7
7,Gautam Gambhir,6,5,0,85,55,17.0,88,96.59,0,1,8,1
8,Abhishek Sharma,3,3,2,63,46*,63.0,33,190.9,0,0,3,5
9,Colin Munro,5,5,0,63,33,12.6,41,153.65,0,0,7,4
10,Harshal Patel,5,2,1,60,36*,60.0,33,181.81,0,0,1,6
11,Rahul Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,5,1
12,Chris Morris,4,4,3,46,27*,46.0,26,176.92,0,0,3,2
13,Dan Christian,4,3,1,26,13,13.0,33,78.78,0,0,0,1
14,Mohammad Shami,4,1,0,7,7,7.0,6,116.66,0,0,1,0
15,Shahbaz Nadeem,6,1,1,6,6*,0.0,8,75.0,0,0,0,0
16,Naman Ojha,1,1,0,1,1,1.0,4,25.0,0,0,0,0
17,Liam Plunkett,7,2,1,1,1*,1.0,3,33.33,0,0,0,0
18,Amit Mishra,10,1,1,1,1*,0.0,2,50.0,0,0,0,0
19,Trent Boult,14,1,0,0,0*,0.0,2,0.0,0,0,0,0
