POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Quinton de Kock,13,13,1,445,108,37.08,327,136.08,1,3,52,13
2,Karun Nair,14,12,2,357,83*,35.7,297,120.2,0,3,40,6
3,Sanju Samson,14,14,3,291,60,26.45,259,112.35,0,1,20,8
4,Rishabh Pant,10,10,2,198,69,24.75,152,130.26,0,1,19,6
5,Chris Morris,12,7,4,195,82*,65.0,109,178.89,0,1,15,12
6,JP Duminy,10,8,3,191,49*,38.2,156,122.43,0,0,13,3
7,Sam Billings,5,4,0,88,54,22.0,64,137.5,0,1,4,4
8,Carlos Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,6,8
9,Pawan Negi,8,6,4,57,19*,28.5,59,96.61,0,0,2,3
10,Shreyas Iyer,6,6,0,30,19,5.0,43,69.76,0,0,2,1
11,Mayank Agarwal,3,3,0,27,10,9.0,25,108.0,0,0,3,1
12,Nathan Coulter-Nile,4,2,2,9,7*,0.0,14,64.28,0,0,1,0
13,Jayant Yadav,5,2,0,6,5,3.0,10,60.0,0,0,0,0
14,Zaheer Khan,12,2,0,6,4,3.0,13,46.15,0,0,1,0
15,Imran Tahir,4,1,0,5,5,5.0,7,71.42,0,0,1,0
16,Amit Mishra,14,2,0,4,3,2.0,14,28.57,0,0,0,0
17,Mohammad Shami,8,2,2,2,2*,0.0,4,50.0,0,0,0,0
18,Shahbaz Nadeem,4,1,1,1,1*,0.0,5,20.0,0,0,0,0
