POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virender Sehwag,11,11,0,424,119,38.54,240,176.66,1,2,51,18
2,Venugopal Rao,14,14,2,336,60,28.0,280,120.0,0,1,30,13
3,David Warner,13,13,0,324,77,24.92,276,117.39,0,3,34,11
4,James Hopes,10,8,3,196,55,39.2,158,124.05,0,2,22,3
5,Naman Ojha,14,14,1,160,29,12.3,161,99.37,0,0,11,11
6,Irfan Pathan,14,12,4,150,44*,18.75,138,108.69,0,0,12,6
7,Yogesh Nagar,11,10,3,111,23,15.85,100,111.0,0,0,6,6
8,Travis Birt,5,5,0,75,27,15.0,58,129.31,0,0,9,2
9,Aaron Finch,6,6,0,47,25,7.83,46,102.17,0,0,3,3
10,Morne Morkel,11,5,3,40,16*,20.0,25,160.0,0,0,3,2
11,Matthew Wade,3,3,0,22,11,7.33,33,66.66,0,0,0,0
12,Colin Ingram,3,3,1,21,13*,10.5,26,80.76,0,0,2,0
13,Roelof van der Merwe,4,4,4,14,8*,0.0,16,87.5,0,0,1,0
14,Andrew McDonald,1,1,0,8,8,8.0,7,114.28,0,0,0,0
15,Ajit Agarkar,7,2,1,7,7*,7.0,6,116.66,0,0,1,0
16,Sridharan Sriram,1,1,0,4,4,4.0,7,57.14,0,0,0,0
17,Unmukt Chand,2,2,0,2,2,1.0,12,16.66,0,0,0,0
18,Umesh Yadav,7,2,1,1,1*,1.0,5,20.0,0,0,0,0
