POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,JP Duminy,14,14,6,410,67*,51.25,305,134.42,0,2,22,20
2,Dinesh Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11
3,Kevin Pietersen,11,11,1,294,58,29.4,233,126.18,0,1,34,7
4,Murali Vijay,11,11,0,207,52,18.81,192,107.81,0,1,20,5
5,Quinton de Kock,7,7,0,153,48,21.85,130,117.69,0,0,19,4
6,Manoj Tiwary,8,8,3,152,61*,30.4,118,128.81,0,1,14,4
7,Kedar Jadhav,10,10,5,149,37,29.8,101,147.52,0,0,13,7
8,Mayank Agarwal,8,8,0,115,31,14.37,91,126.37,0,0,12,3
9,Ross Taylor,4,4,1,59,43*,19.66,59,100.0,0,0,6,0
10,Jimmy Neesham,4,3,0,42,22,14.0,46,91.3,0,0,3,1
11,Laxmi Ratan Shukla,5,3,0,31,21,10.33,38,81.57,0,0,2,1
12,Rahul Shukla,3,3,2,18,14,18.0,21,85.71,0,0,2,0
13,Imran Tahir,6,2,0,8,4,4.0,10,80.0,0,0,2,0
14,Shahbaz Nadeem,11,3,1,7,3*,3.5,19,36.84,0,0,0,0
15,Mohammad Shami,12,4,2,3,1*,1.5,7,42.85,0,0,0,0
16,Siddarth Kaul,5,1,1,2,2*,0.0,2,100.0,0,0,0,0
17,Wayne Parnell,8,2,1,2,2,2.0,2,100.0,0,0,0,0
18,Jaydev Unadkat,9,2,1,1,1*,1.0,6,16.66,0,0,0,0
