POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Shikhar Dhawan,16,16,1,587,92,39.13,471,124.62,0,3,63,16
2,Prithvi Shaw,15,15,0,479,82,31.93,301,159.13,0,4,56,18
3,Rishabh Pant,16,16,4,419,58*,34.91,326,128.52,0,3,42,10
4,Shimron Hetmyer,14,13,6,242,53*,34.57,144,168.05,0,1,19,12
5,Shreyas Iyer,8,8,3,175,47*,35.0,171,102.33,0,0,7,5
6,Steve Smith,8,7,1,152,39,25.33,135,112.59,0,0,13,2
7,Marcus Stoinis,10,7,3,89,27*,22.25,72,123.61,0,0,11,1
8,Lalit Yadav,7,5,3,68,22*,34.0,73,93.15,0,0,7,0
9,Ravichandran Ashwin,13,5,2,44,20*,14.66,42,104.76,0,0,2,1
10,Axar Patel,12,6,1,40,12,8.0,46,86.95,0,0,2,1
11,Ripal Patel,2,2,1,25,18,25.0,27,92.59,0,0,3,0
12,Tom Curran,3,2,1,21,21,21.0,17,123.52,0,0,2,0
13,Chris Woakes,3,1,1,15,15*,0.0,11,136.36,0,0,2,0
14,Kagiso Rabada,15,3,2,13,9*,13.0,6,216.66,0,0,2,0
15,Ajinkya Rahane,2,1,0,8,8,8.0,8,100.0,0,0,1,0
16,Avesh Khan,16,1,1,5,5*,0.0,3,166.66,0,0,1,0
