POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Shikhar Dhawan,17,17,3,618,106*,44.14,427,144.73,2,4,67,12
2,Shreyas Iyer,17,17,2,519,88*,34.6,421,123.27,0,3,40,16
3,Marcus Stoinis,17,17,3,352,65,25.14,237,148.52,0,3,31,16
4,Rishabh Pant,14,14,3,343,56,31.18,301,113.95,0,1,31,9
5,Prithvi Shaw,13,13,0,228,66,17.53,167,136.52,0,2,27,8
6,Shimron Hetmyer,12,11,3,185,45,23.12,125,148.0,0,0,11,12
7,Axar Patel,15,9,1,117,42,14.62,85,137.64,0,0,6,8
8,Ajinkya Rahane,9,8,0,113,60,14.12,107,105.6,0,1,12,2
9,Kagiso Rabada,17,8,4,56,15*,14.0,49,114.28,0,0,4,2
10,Ravichandran Ashwin,15,6,3,37,14*,12.33,34,108.82,0,0,3,1
11,Alex Carey,3,3,1,32,14*,16.0,29,110.34,0,0,0,1
12,Harshal Patel,5,2,0,21,16,10.5,24,87.5,0,0,2,0
13,Tushar Deshpande,5,2,1,21,20*,21.0,12,175.0,0,0,2,1
14,Pravin Dubey,3,1,1,7,7*,0.0,13,53.84,0,0,0,0
15,Anrich Nortje,16,5,4,7,3*,7.0,6,116.66,0,0,0,0
16,Daniel Sams,3,1,0,0,0*,0.0,2,0.0,0,0,0,0
