POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,David Warner,16,16,3,410,77,31.53,323,126.93,0,4,41,14
2,Mahela Jayawardena,15,15,0,331,66,22.06,313,105.75,0,2,39,6
3,Virender Sehwag,13,13,1,295,95*,24.58,233,126.6,0,1,41,6
4,Ben Rohrer,8,8,2,193,64*,32.16,140,137.85,0,1,21,5
5,Unmukt Chand,9,9,0,158,41,17.55,158,100.0,0,0,17,4
6,Kedar Jadhav,12,10,3,152,31,21.71,124,122.58,0,0,8,5
7,Irfan Pathan,15,13,5,142,24,17.75,152,93.42,0,0,9,3
8,Manpreet Juneja,7,7,0,125,49,17.85,128,97.65,0,0,11,1
9,Morne Morkel,10,6,1,57,23*,11.4,29,196.55,0,0,6,3
10,Chidhambaram Gautam,3,3,1,44,30,22.0,34,129.41,0,0,4,1
11,Johan Botha,6,6,0,43,23,7.16,52,82.69,0,0,5,1
12,Umesh Yadav,16,8,7,38,12*,38.0,38,100.0,0,0,3,1
13,Jeevan Mendis,3,3,0,23,12,7.66,27,85.18,0,0,0,0
14,Roelof van der Merwe,3,2,0,22,14,11.0,25,88.0,0,0,2,0
15,Bharat Chipli,1,1,0,16,16,16.0,18,88.88,0,0,1,1
16,Shahbaz Nadeem,12,6,1,14,6,2.8,27,51.85,0,0,1,0
17,Ajit Agarkar,4,2,1,12,9*,12.0,16,75.0,0,0,0,0
18,Andre Russell,3,2,0,11,7,5.5,14,78.57,0,0,0,0
19,Naman Ojha,2,2,1,9,9,9.0,10,90.0,0,0,1,0
20,Siddarth Kaul,6,2,2,7,7*,0.0,9,77.77,0,0,0,0
