POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Prithvi Shaw,7,7,0,254,61,36.29,154,164.93,0,2,34,9
2,David Warner,5,5,1,219,66,54.75,139,157.55,0,3,25,9
3,Rishabh Pant,7,6,1,188,44,37.60,122,154.09,0,0,19,8
4,Lalit Yadav,7,5,1,112,48*,28.00,92,121.73,0,0,9,5
5,Shardul Thakur,7,5,1,80,29*,20.00,43,186.04,0,0,5,6
6,Axar Patel,7,5,3,79,38*,39.50,46,171.73,0,0,7,4
7,Rovman Powell,7,6,0,67,36,11.17,46,145.65,0,0,2,7
8,Sarfaraz Khan,4,3,2,49,36*,49.00,44,111.36,0,0,4,0
9,Tim Seifert,2,2,0,24,21,12.00,19,126.31,0,0,4,0
10,Kuldeep Yadav,7,3,3,24,14*,-,24,100.0,0,0,2,1
11,Mandeep Singh,2,2,0,18,18,9.00,18,100.0,0,0,4,0
12,Mitchell Marsh,1,1,0,14,14,14.00,24,58.33,0,0,0,0
13,Mustafizur Rahman,6,1,1,3,3*,-,5,60.0,0,0,0,0
