POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,MS Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23
2,Shane Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20
3,Faf du Plessis,12,12,1,396,96,36.0,321,123.36,0,3,36,15
4,Suresh Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9
5,Ambati Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7
6,Kedar Jadhav,14,12,3,162,58,18.0,169,95.85,0,1,19,3
7,Ravindra Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4
8,Dwayne Bravo,12,9,4,80,27,16.0,66,121.21,0,0,6,3
9,Murali Vijay,2,2,0,64,38,32.0,61,104.91,0,0,6,1
10,Mitchell Santner,4,2,1,32,22,32.0,23,139.13,0,0,0,3
11,Shardul Thakur,10,3,1,14,12*,7.0,7,200.0,0,0,1,1
12,Deepak Chahar,17,2,0,7,7,3.5,9,77.77,0,0,1,0
13,Dhruv Shorey,1,1,0,5,5,5.0,8,62.5,0,0,0,0
14,Harbhajan Singh,11,1,0,1,1,1.0,3,33.33,0,0,0,0
15,Mohit Sharma,1,1,1,0,0*,0.0,2,0.0,0,0,0,0
16,Sam Billings,1,1,0,0,0*,0.0,4,0.0,0,0,0,0
