POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Ruturaj Gaikwad,16,16,2,635,101*,45.35,466,136.26,1,4,64,23
2,Faf du Plessis,16,16,2,633,95*,45.21,458,138.2,0,6,60,23
3,Moeen Ali,15,15,1,357,58,25.5,260,137.3,0,1,31,19
4,Ambati Rayudu,16,13,4,257,72*,28.55,170,151.17,0,2,16,17
5,Ravindra Jadeja,16,12,9,227,62*,75.66,156,145.51,0,1,19,9
6,Suresh Raina,12,11,2,160,54,17.77,128,125.0,0,1,13,9
7,Robin Uthappa,4,4,0,115,63,28.75,84,136.9,0,1,8,5
8,MS Dhoni,16,11,4,114,18*,16.28,107,106.54,0,0,12,3
9,Sam Curran,9,4,1,56,34,18.66,29,193.1,0,0,5,3
10,Dwayne Bravo,11,3,2,47,23,47.0,18,261.11,0,0,3,4
11,Shardul Thakur,16,4,2,5,3*,2.5,5,100.0,0,0,0,0
12,Deepak Chahar,15,2,2,1,1*,0.0,1,100.0,0,0,0,0
